"","hhid","Insert_prov_CHN","Cluster.No","Loan.Type","multi.level","Formal","Informal","L.Both","No.Loan","region","sex","educ","political.afl","married","havejob","rural","age","Income","Networth","Liquid Assets","NW-HE","Province"
"1",201100002,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","0","1","1","0","0",81,129600,3044439.7265625,3143139.75,44439.7265625,"Beijing"
"2",201100006,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","0","0","0","0","0",86,140200,4468485,4536097,468485,"Beijing"
"3",201100007,"Beijing",1,"No.Loan","0",0,0,0,1,"1","0","1","1","1","0","0",74,109520,1351908.1328125,1439698.125,151908.1328125,"Beijing"
"4",201100008,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","0","0","1","0","0",67,95304,2517973.6640625,2636780,117973.6640625,"Beijing"
"5",201100012,"Beijing",2,"No.Loan","0",0,0,0,1,"1","0","0","0","0","0","0",78,3600,4060845.03417969,4065426,60845.0341796875,"Beijing"
"6",201100013,"Beijing",2,"No.Loan","0",0,0,0,1,"1","0","0","1","1","0","0",78,6000,4367696.65234375,4425225.5,617696.65234375,"Beijing"
"7",201100017,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","1","0","1","0","0",75,88800,3663888.9921875,3730589,1328001.9921875,"Beijing"
"8",201100022,"Beijing",1,"No.Loan","0",0,0,0,1,"1","0","0","0","0","0","0",80,105600,2221328.75,2311088,-78671.25,"Beijing"
"9",201100030,"Beijing",1,"No.Loan","0",0,0,0,1,"1","1","0","1","1","0","0",86,60000,962529.734375,1000322.625,-37470.265625,"Beijing"
"10",201100033,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","0","1","0","0","0",81,73600,2844800.84375,2906500,44800.84375,"Beijing"
"11",201100053,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","1","0","1","1","0",53,160000,3197540.0078125,3285000,-2459.9921875,"Beijing"
"12",201100054,"Beijing",2,"No.Loan","0",0,0,0,1,"1","0","0","1","1","0","1",79,49000,3863048.984375,3901105,263048.984375,"Beijing"
"13",201100056,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","0","0","1","1","1",47,242973,4774998.9296875,4971134,274998.9296875,"Beijing"
"14",201100062,"Beijing",1,"No.Loan","0",0,0,0,1,"1","0","0","0","0","0","0",62,55835,975635.6875,1012030,-24364.3125,"Beijing"
"15",201100066,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","1","1","1","0","1",74,113600,3773440.015625,3898080,773440.015625,"Beijing"
"16",201100068,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","1","0","1","0","0",78,54400,2414184,2425560,414184,"Beijing"
"17",201100070,"Beijing",2,"No.Loan","0",0,0,0,1,"1","1","0","0","1","0","1",62,112984,2587293.99804688,2617210,187293.998046875,"Beijing"
"18",201100071,"Beijing",2,"Formal","1",1,0,0,0,"1","0","1","1","1","1","0",49,152538,3125160.0078125,3925660,-574839.9921875,"Beijing"
"19",201100072,"Beijing",1,"No.Loan","0",0,0,0,1,"1","1","0","0","1","1","1",52,5000,1480639.99804688,1505000,-19360.001953125,"Beijing"
"20",201100075,"Beijing",2,"Formal","1",1,0,0,0,"1","0","1","1","1","1","0",31,532500,1739141.03125,2786400,-460858.96875,"Beijing"
